i,j,count,rk
1,588,1,1
1,471,1,2
1,393,1,3
1,64,1,4
1,583,1,5
2,157,1,1
2,483,1,2
2,625,1,3
2,181,1,4
2,466,1,5
3,532,1,1
3,652,1,2
3,779,1,3
3,707,1,4
3,781,1,5
4,289,1,1
4,787,1,2
4,330,1,3
4,648,1,4
4,276,1,5
5,584,1,1
5,783,1,2
5,14,1,3
6,171,1,1
6,767,1,2
6,706,1,3
6,288,1,4
6,105,1,5
7,287,1,1
7,193,1,2
7,237,1,3
7,668,1,4
7,202,1,5
8,318,1,1
8,103,1,2
8,177,1,3
9,666,1,1
9,18,1,2
9,499,1,3
9,564,1,4
9,678,1,5
10,219,1,1
10,797,1,2
10,330,1,3
10,151,1,4
11,121,1,1
11,387,1,2
12,603,1,1
12,84,1,2
12,309,1,3
12,55,1,4
12,371,1,5
13,346,1,1
13,92,1,2
13,615,1,3
14,38,1,1
14,158,1,2
14,128,1,3
14,460,1,4
14,646,1,5
15,764,2,1
15,321,1,2
15,753,1,3
15,554,1,4
15,569,1,5
16,476,1,1
16,234,1,2
16,651,1,3
16,608,1,4
16,444,1,5
17,739,1,1
17,273,1,2
17,509,1,3
17,685,1,4
17,372,1,5
18,662,1,1
19,701,1,1
19,161,1,2
19,512,1,3
20,123,1,1
20,595,1,2
20,589,1,3
20,727,1,4
20,696,1,5
21,610,1,1
21,195,1,2
21,719,1,3
21,133,1,4
21,587,1,5
22,391,1,1
22,673,1,2
22,91,1,3
23,368,1,1
23,569,1,2
23,464,1,3
23,139,1,4
23,396,1,5
24,269,1,1
24,547,1,2
24,333,1,3
24,174,1,4
24,412,1,5
25,790,1,1
25,417,1,2
25,107,1,3
25,39,1,4
26,183,1,1
26,757,1,2
27,249,1,1
27,778,1,2
27,65,1,3
27,120,1,4
27,287,1,5
28,150,1,1
28,67,1,2
28,263,1,3
28,34,1,4
29,136,1,1
29,304,1,2
29,666,1,3
29,610,1,4
30,773,1,1
30,281,1,2
30,81,1,3
30,603,1,4
31,788,1,1
31,71,1,2
31,167,1,3
31,368,1,4
31,526,1,5
32,357,1,1
32,366,1,2
33,773,1,1
33,203,1,2
33,514,1,3
34,277,1,1
34,652,1,2
34,67,1,3
35,579,1,1
35,257,1,2
35,76,1,3
35,79,1,4
35,645,1,5
36,675,1,1
36,750,1,2
36,248,1,3
36,278,1,4
36,52,1,5
37,458,1,1
37,347,1,2
38,189,1,1
38,148,1,2
38,51,1,3
38,140,1,4
38,779,1,5
39,209,1,1
39,544,1,2
39,420,1,3
39,761,1,4
39,262,1,5
40,561,1,1
40,709,1,2
40,102,1,3
41,618,1,1
41,724,1,2
42,100,1,1
42,576,1,2
42,711,1,3
42,347,1,4
43,435,1,1
43,721,1,2
43,582,1,3
44,773,1,1
44,604,1,2
44,752,1,3
45,363,1,1
45,238,1,2
45,159,1,3
45,102,1,4
46,776,1,1
46,337,1,2
47,81,1,1
47,625,1,2
47,759,1,3
47,651,1,4
47,346,1,5
48,282,1,1
48,117,1,2
48,267,1,3
48,733,1,4
48,593,1,5
49,211,1,1
49,238,1,2
49,785,1,3
49,757,1,4
50,669,1,1
50,763,1,2
50,450,1,3
50,779,1,4
50,637,1,5
51,529,1,1
52,504,2,1
52,646,1,2
52,636,1,3
52,283,1,4
52,532,1,5
53,137,1,1
53,489,1,2
53,535,1,3
53,698,1,4
53,377,1,5
54,732,1,1
54,152,1,2
54,789,1,3
54,279,1,4
54,484,1,5
55,249,1,1
55,584,1,2
55,305,1,3
55,424,1,4
56,263,1,1
56,474,1,2
56,766,1,3
56,759,1,4
56,101,1,5
57,88,1,1
57,422,1,2
57,717,1,3
57,402,1,4
57,439,1,5
58,89,1,1
58,361,1,2
58,682,1,3
58,179,1,4
58,753,1,5
59,703,1,1
59,172,1,2
59,425,1,3
59,152,1,4
59,685,1,5
60,197,1,1
60,618,1,2
61,172,1,1
61,457,1,2
61,307,1,3
61,434,1,4
61,783,1,5
62,216,1,1
62,790,1,2
62,77,1,3
63,647,1,1
63,733,1,2
63,697,1,3
63,153,1,4
63,351,1,5
64,531,1,1
64,275,1,2
64,233,1,3
64,125,1,4
64,687,1,5
65,621,1,1
66,575,1,1
66,100,1,2
66,471,1,3
67,348,1,1
67,175,1,2
67,546,1,3
67,79,1,4
68,154,1,1
69,212,1,1
69,72,1,2
70,84,1,1
70,658,1,2
70,312,1,3
70,295,1,4
70,777,1,5
71,78,1,1
71,264,1,2
71,512,1,3
71,496,1,4
72,567,1,1
72,339,1,2
72,738,1,3
72,715,1,4
72,581,1,5
73,406,1,1
73,163,1,2
73,150,1,3
73,101,1,4
73,90,1,5
74,496,1,1
74,793,1,2
74,253,1,3
74,400,1,4
74,287,1,5
75,289,1,1
75,579,1,2
75,728,1,3
75,558,1,4
75,241,1,5
76,301,1,1
76,107,1,2
76,532,1,3
76,261,1,4
77,647,1,1
77,711,1,2
77,100,1,3
78,636,1,1
78,564,1,2
78,387,1,3
78,606,1,4
78,634,1,5
79,240,1,1
79,257,1,2
79,265,1,3
79,471,1,4
79,453,1,5
80,580,1,1
80,787,1,2
80,756,1,3
80,443,1,4
80,652,1,5
81,353,1,1
81,332,1,2
81,360,1,3
82,639,1,1
82,216,1,2
82,260,1,3
82,769,1,4
82,360,1,5
83,395,1,1
83,125,1,2
83,601,1,3
83,652,1,4
84,422,1,1
84,701,1,2
84,517,1,3
84,388,1,4
84,227,1,5
85,443,1,1
85,784,1,2
85,553,1,3
85,760,1,4
85,673,1,5
86,777,1,1
86,506,1,2
86,238,1,3
86,240,1,4
86,766,1,5
87,406,1,1
87,745,1,2
87,393,1,3
87,467,1,4
87,150,1,5
88,513,1,1
88,218,1,2
88,332,1,3
89,557,1,1
89,638,1,2
89,677,1,3
89,343,1,4
89,553,1,5
90,590,1,1
90,265,1,2
90,791,1,3
90,390,1,4
90,742,1,5
91,464,1,1
91,278,1,2
92,476,1,1
92,417,1,2
92,787,1,3
92,329,1,4
92,295,1,5
93,739,1,1
93,750,1,2
93,627,1,3
94,342,1,1
94,129,1,2
94,289,1,3
94,675,1,4
95,767,1,1
95,413,1,2
95,234,1,3
96,224,1,1
96,390,1,2
96,723,1,3
96,674,1,4
96,490,1,5
97,472,1,1
97,394,1,2
97,450,1,3
97,669,1,4
98,736,1,1
98,319,1,2
98,289,1,3
98,765,1,4
98,244,1,5
99,419,1,1
100,474,1,1
100,544,1,2
100,688,1,3
100,385,1,4
100,376,1,5
101,669,1,1
101,150,1,2
101,406,1,3
101,753,1,4
101,597,1,5
102,351,1,1
102,605,1,2
102,226,1,3
102,324,1,4
103,218,1,1
103,177,1,2
104,216,1,1
104,600,1,2
104,560,1,3
104,384,1,4
105,332,1,1
105,612,1,2
105,137,1,3
105,730,1,4
105,516,1,5
106,433,1,1
106,445,1,2
106,169,1,3
106,408,1,4
106,534,1,5
107,527,1,1
107,258,1,2
107,381,1,3
107,301,1,4
107,691,1,5
108,175,1,1
108,418,1,2
108,704,1,3
108,481,1,4
108,777,1,5
109,317,1,1
109,149,1,2
109,258,1,3
109,635,1,4
109,309,1,5
110,438,1,1
110,239,1,2
110,296,1,3
111,207,1,1
111,626,1,2
111,279,1,3
111,641,1,4
111,613,1,5
112,707,1,1
112,141,1,2
112,263,1,3
112,400,1,4
113,626,1,1
113,212,1,2
113,141,1,3
113,234,1,4
113,423,1,5
114,796,1,1
114,598,1,2
114,475,1,3
114,301,1,4
114,667,1,5
115,396,1,1
115,791,1,2
115,311,1,3
115,561,1,4
115,772,1,5
116,424,1,1
116,638,1,2
116,440,1,3
116,746,1,4
118,331,1,1
118,724,1,2
118,678,1,3
118,668,1,4
118,737,1,5
119,727,1,1
119,723,1,2
119,326,1,3
120,703,1,1
120,352,1,2
120,552,1,3
120,174,1,4
120,401,1,5
121,471,1,1
122,512,1,1
122,395,1,2
122,627,1,3
122,156,1,4
122,649,1,5
123,135,1,1
123,430,1,2
123,763,1,3
123,203,1,4
123,426,1,5
124,270,1,1
124,360,1,2
124,155,1,3
124,399,1,4
124,770,1,5
125,300,1,1
125,784,1,2
125,292,1,3
125,782,1,4
125,611,1,5
126,617,1,1
126,653,1,2
126,613,1,3
126,243,1,4
126,297,1,5
127,602,1,1
127,237,1,2
128,654,1,1
128,739,1,2
128,774,1,3
128,451,1,4
128,629,1,5
129,194,1,1
129,221,1,2
129,696,1,3
129,505,1,4
130,300,1,1
130,670,1,2
130,361,1,3
131,641,1,1
131,379,1,2
131,698,1,3
131,632,1,4
131,307,1,5
132,465,1,1
132,508,1,2
132,255,1,3
132,756,1,4
