product_id,category,views,carts,buys,conv_rate
736,sports,28,9,9,0.3103448275862069
590,books,35,16,16,0.4444444444444444
748,sports,32,16,8,0.24242424242424243
92,home,40,13,12,0.2926829268292683
2,sports,48,10,17,0.3469387755102041
377,sports,41,10,10,0.23809523809523808
341,sports,32,20,15,0.45454545454545453
394,sports,41,13,11,0.2619047619047619
276,clothing,39,13,10,0.25
669,books,39,8,10,0.25
157,clothing,24,11,10,0.4
49,clothing,49,10,11,0.22
764,books,40,11,11,0.2682926829268293
246,clothing,38,8,12,0.3076923076923077
140,books,31,19,10,0.3125
426,electronics,36,12,21,0.5675675675675675
148,sports,38,14,8,0.20512820512820512
705,books,47,10,14,0.2916666666666667
342,electronics,37,10,18,0.47368421052631576
297,sports,33,11,20,0.5882352941176471
357,clothing,34,8,10,0.2857142857142857
624,clothing,30,8,11,0.3548387096774194
236,sports,42,13,7,0.16279069767441862
662,books,38,16,7,0.1794871794871795
93,home,28,17,13,0.4482758620689655
439,home,27,12,10,0.35714285714285715
15,clothing,47,18,12,0.25
730,electronics,34,17,13,0.37142857142857144
687,home,34,14,12,0.34285714285714286
659,sports,50,19,12,0.23529411764705882
300,home,35,10,12,0.3333333333333333
205,home,34,18,9,0.2571428571428571
596,books,40,15,12,0.2926829268292683
371,home,40,14,15,0.36585365853658536
393,home,22,12,9,0.391304347826087
139,home,41,11,12,0.2857142857142857
368,electronics,45,12,12,0.2608695652173913
604,home,44,10,9,0.2
732,sports,30,18,18,0.5806451612903226
129,clothing,37,11,16,0.42105263157894735
326,electronics,32,13,10,0.30303030303030304
691,electronics,45,9,10,0.21739130434782608
759,clothing,37,21,14,0.3684210526315789
219,electronics,40,17,13,0.3170731707317073
451,sports,48,13,12,0.24489795918367346
508,clothing,37,11,10,0.2631578947368421
520,home,42,16,11,0.2558139534883721
592,clothing,41,15,13,0.30952380952380953
472,sports,32,15,21,0.6363636363636364
412,clothing,32,8,16,0.48484848484848486
654,sports,40,13,12,0.2926829268292683
234,sports,39,12,7,0.175
227,books,34,15,14,0.4
118,sports,31,14,16,0.5
134,electronics,35,9,10,0.2777777777777778
771,clothing,37,12,15,0.39473684210526316
682,clothing,50,14,14,0.27450980392156865
11,home,37,10,7,0.18421052631578946
519,books,47,14,19,0.3958333333333333
683,sports,40,13,9,0.21951219512195122
469,sports,34,9,9,0.2571428571428571
471,electronics,33,19,10,0.29411764705882354
372,clothing,43,15,10,0.22727272727272727
724,clothing,43,16,12,0.2727272727272727
338,books,32,12,13,0.3939393939393939
738,home,35,7,2,0.05555555555555555
133,books,26,13,10,0.37037037037037035
57,clothing,28,8,16,0.5517241379310345
415,clothing,39,19,19,0.475
63,home,37,19,15,0.39473684210526316
158,books,42,15,8,0.18604651162790697
799,electronics,29,14,14,0.4666666666666667
757,home,44,13,10,0.2222222222222222
132,electronics,45,19,11,0.2391304347826087
639,electronics,35,14,14,0.3888888888888889
499,clothing,35,16,13,0.3611111111111111
41,home,31,14,10,0.3125
99,electronics,32,9,15,0.45454545454545453
268,clothing,35,8,15,0.4166666666666667
741,sports,35,16,13,0.3611111111111111
468,electronics,39,7,13,0.325
449,home,38,10,12,0.3076923076923077
94,clothing,29,17,12,0.4
257,home,30,12,11,0.3548387096774194
174,electronics,36,10,9,0.24324324324324326
137,electronics,44,10,14,0.3111111111111111
34,clothing,39,13,10,0.25
433,sports,37,15,15,0.39473684210526316
695,sports,34,9,12,0.34285714285714286
265,sports,39,16,9,0.225
617,books,34,17,18,0.5142857142857142
346,sports,37,16,18,0.47368421052631576
17,books,42,10,9,0.20930232558139536
714,home,37,10,15,0.39473684210526316
75,electronics,39,16,10,0.25
612,sports,33,8,12,0.35294117647058826
703,clothing,44,18,14,0.3111111111111111
23,home,31,12,20,0.625
753,electronics,30,13,10,0.3225806451612903
536,electronics,35,11,14,0.3888888888888889
492,books,28,9,6,0.20689655172413793
648,clothing,31,19,11,0.34375
231,home,33,13,10,0.29411764705882354
600,electronics,35,2,13,0.3611111111111111
709,clothing,42,12,7,0.16279069767441862
235,books,27,9,12,0.42857142857142855
167,sports,36,11,12,0.32432432432432434
223,sports,34,17,16,0.45714285714285713
395,sports,38,17,12,0.3076923076923077
239,sports,35,19,15,0.4166666666666667
249,home,38,14,11,0.28205128205128205
413,sports,41,13,11,0.2619047619047619
637,books,35,15,14,0.3888888888888889
420,sports,41,18,15,0.35714285714285715
506,home,38,12,13,0.3333333333333333
216,sports,31,13,15,0.46875
528,home,27,10,17,0.6071428571428571
467,sports,43,9,15,0.3409090909090909
282,clothing,34,10,12,0.34285714285714286
679,books,41,10,10,0.23809523809523808
46,home,38,12,12,0.3076923076923077
296,sports,37,13,14,0.3684210526315789
20,sports,41,16,13,0.30952380952380953
638,sports,40,13,14,0.34146341463414637
775,home,34,12,9,0.2571428571428571
203,books,50,9,11,0.21568627450980393
653,electronics,50,12,19,0.37254901960784315
79,clothing,42,7,14,0.32558139534883723
785,books,41,16,8,0.19047619047619047
780,sports,33,15,10,0.29411764705882354
544,sports,41,7,14,0.3333333333333333
389,clothing,36,9,11,0.2972972972972973
553,sports,34,15,10,0.2857142857142857
554,books,42,15,12,0.27906976744186046
238,books,43,10,12,0.2727272727272727
795,electronics,23,7,11,0.4583333333333333
116,sports,28,14,14,0.4827586206896552
339,sports,42,12,14,0.32558139534883723
207,home,34,9,11,0.3142857142857143
392,sports,26,9,15,0.5555555555555556
702,books,38,12,8,0.20512820512820512
10,home,39,11,7,0.175
71,books,41,8,17,0.40476190476190477
24,books,28,15,13,0.4482758620689655
511,clothing,37,10,10,0.2631578947368421
184,sports,38,16,16,0.41025641025641024
390,sports,38,13,14,0.358974358974359
566,sports,25,11,14,0.5384615384615384
747,clothing,51,11,8,0.15384615384615385
367,clothing,24,10,10,0.4
521,clothing,32,14,10,0.30303030303030304
313,books,48,13,14,0.2857142857142857
686,home,33,20,12,0.35294117647058826
258,sports,39,9,8,0.2
294,clothing,42,11,7,0.16279069767441862
43,electronics,32,21,19,0.5757575757575758
32,home,38,11,10,0.2564102564102564
88,books,47,20,14,0.2916666666666667
671,sports,47,10,9,0.1875
358,books,45,9,10,0.21739130434782608
620,clothing,41,16,10,0.23809523809523808
391,electronics,35,10,8,0.2222222222222222
364,home,41,15,12,0.2857142857142857
36,clothing,39,15,9,0.225
543,books,32,15,14,0.42424242424242425
50,home,38,15,9,0.23076923076923078
324,home,36,5,21,0.5675675675675675
432,electronics,39,9,14,0.35
8,clothing,39,14,10,0.25
514,clothing,33,7,10,0.29411764705882354
100,electronics,39,13,14,0.35
200,electronics,29,15,15,0.5
465,home,27,20,11,0.39285714285714285
44,electronics,29,9,18,0.6
399,clothing,43,16,16,0.36363636363636365
427,books,35,17,15,0.4166666666666667
186,books,29,16,10,0.3333333333333333
166,electronics,38,12,13,0.3333333333333333
13,electronics,31,11,14,0.4375
86,clothing,48,18,18,0.3673469387755102
30,books,37,15,12,0.3157894736842105
483,books,41,8,11,0.2619047619047619
173,sports,37,12,10,0.2631578947368421
636,clothing,42,14,17,0.3953488372093023
192,home,43,12,14,0.3181818181818182
660,electronics,38,11,11,0.28205128205128205
411,electronics,44,15,9,0.2
698,electronics,34,12,11,0.3142857142857143
144,electronics,42,12,7,0.16279069767441862
737,electronics,40,9,12,0.2926829268292683
350,clothing,35,12,9,0.25
224,sports,30,13,17,0.5483870967741935
352,sports,42,15,16,0.37209302325581395
7,books,41,13,14,0.3333333333333333
534,home,27,8,15,0.5357142857142857
237,sports,41,18,14,0.3333333333333333
80,home,43,5,13,0.29545454545454547
615,books,46,13,15,0.3191489361702128
647,books,48,14,16,0.32653061224489793
397,electronics,34,7,16,0.45714285714285713
401,home,44,20,11,0.24444444444444444
579,clothing,38,13,10,0.2564102564102564
213,books,29,9,10,0.3333333333333333
718,home,40,12,7,0.17073170731707318
170,electronics,32,8,13,0.3939393939393939
47,electronics,28,10,19,0.6551724137931034
197,home,50,16,12,0.23529411764705882
150,clothing,33,21,9,0.2647058823529412
557,sports,49,16,17,0.34
613,sports,38,14,5,0.1282051282051282
717,electronics,35,11,16,0.4444444444444444
574,electronics,41,12,10,0.23809523809523808
171,sports,46,20,16,0.3404255319148936
4,electronics,42,15,14,0.32558139534883723
473,books,45,14,15,0.32608695652173914
29,home,43,15,15,0.3409090909090909
190,electronics,34,10,11,0.3142857142857143
55,clothing,30,12,18,0.5806451612903226
769,home,24,17,14,0.56
656,electronics,30,11,12,0.3870967741935484
287,books,40,12,11,0.2682926829268293
481,home,36,13,14,0.3783783783783784
567,clothing,40,8,7,0.17073170731707318
262,books,42,14,8,0.18604651162790697
677,sports,39,13,13,0.325
437,electronics,34,10,10,0.2857142857142857
106,books,45,12,19,0.41304347826086957
232,electronics,35,8,11,0.3055555555555556
277,home,35,12,16,0.4444444444444444
18,clothing,33,11,16,0.47058823529411764
293,books,32,14,16,0.48484848484848486
335,sports,30,8,17,0.5483870967741935
259,sports,38,11,13,0.3333333333333333
673,clothing,38,21,13,0.3333333333333333
728,books,41,15,13,0.30952380952380953
672,electronics,27,22,13,0.4642857142857143
127,books,37,15,20,0.5263157894736842
138,electronics,48,8,12,0.24489795918367346
555,home,40,14,11,0.2682926829268293
793,clothing,40,13,8,0.1951219512195122
540,home,39,5,13,0.325
355,clothing,40,12,12,0.2926829268292683
694,sports,34,15,9,0.2571428571428571
280,clothing,27,14,17,0.6071428571428571
430,electronics,38,11,14,0.358974358974359
725,electronics,34,11,10,0.2857142857142857
670,sports,40,12,15,0.36585365853658536
497,clothing,26,15,7,0.25925925925925924
767,electronics,43,12,14,0.3181818181818182
351,home,48,14,14,0.2857142857142857
111,clothing,39,11,12,0.3
710,books,26,3,10,0.37037037037037035
266,sports,35,14,13,0.3611111111111111
440,books,57,14,12,0.20689655172413793
742,electronics,47,6,15,0.3125
475,home,43,17,8,0.18181818181818182
532,clothing,33,10,11,0.3235294117647059
568,home,27,10,12,0.42857142857142855
28,clothing,34,5,4,0.11428571428571428
122,clothing,39,11,10,0.25
354,books,28,15,16,0.5517241379310345
457,home,35,12,9,0.25
72,electronics,33,10,10,0.29411764705882354
189,electronics,37,12,10,0.2631578947368421
562,sports,27,9,15,0.5357142857142857
608,home,46,10,11,0.23404255319148937
577,home,46,12,12,0.2553191489361702
25,clothing,42,12,18,0.4186046511627907
564,electronics,40,9,12,0.2926829268292683
606,books,25,9,14,0.5384615384615384
713,books,42,9,8,0.18604651162790697
195,electronics,34,8,15,0.42857142857142855
343,clothing,29,13,21,0.7
403,books,27,14,13,0.4642857142857143
760,electronics,43,11,5,0.11363636363636363
587,home,37,10,18,0.47368421052631576
147,books,24,10,9,0.36
758,clothing,42,16,8,0.18604651162790697
551,sports,34,15,13,0.37142857142857144
314,clothing,35,12,15,0.4166666666666667
240,sports,39,14,16,0.4
126,home,37,13,9,0.23684210526315788
406,home,47,15,15,0.3125
309,clothing,41,14,14,0.3333333333333333
666,clothing,45,15,14,0.30434782608695654
68,home,44,8,7,0.15555555555555556
119,home,41,14,11,0.2619047619047619
182,electronics,51,16,11,0.21153846153846154
14,sports,42,14,6,0.13953488372093023
16,books,49,13,10,0.2
708,sports,35,8,10,0.2777777777777778
5,sports,28,6,13,0.4482758620689655
206,sports,38,16,7,0.1794871794871795
689,home,28,8,15,0.5172413793103449
565,electronics,45,19,21,0.45652173913043476
271,electronics,45,13,10,0.21739130434782608
575,electronics,39,13,9,0.225
400,books,41,13,11,0.2619047619047619
181,books,40,14,7,0.17073170731707318
82,electronics,36,20,13,0.35135135135135137
556,home,38,13,16,0.41025641025641024
110,sports,39,10,12,0.3
755,books,38,15,14,0.358974358974359
279,home,44,13,14,0.3111111111111111
599,clothing,32,14,12,0.36363636363636365
283,home,47,12,10,0.20833333333333334
398,sports,40,17,19,0.4634146341463415
244,books,34,16,15,0.42857142857142855
790,books,46,11,10,0.2127659574468085
546,clothing,40,18,14,0.34146341463414637
261,sports,38,12,13,0.3333333333333333
198,home,36,12,8,0.21621621621621623
459,clothing,46,9,11,0.23404255319148937
503,electronics,44,14,13,0.28888888888888886
56,books,35,5,15,0.4166666666666667
610,books,53,14,7,0.12962962962962962
316,sports,31,13,9,0.28125
329,home,35,13,12,0.3333333333333333
797,electronics,37,16,14,0.3684210526315789
305,clothing,42,17,10,0.23255813953488372
777,home,43,15,12,0.2727272727272727
53,clothing,41,12,11,0.2619047619047619
704,clothing,39,14,13,0.325
652,home,51,21,10,0.19230769230769232
250,clothing,32,15,26,0.7878787878787878
379,clothing,41,16,9,0.21428571428571427
768,home,31,9,10,0.3125
73,sports,34,11,10,0.2857142857142857
586,sports,40,17,10,0.24390243902439024
149,sports,39,12,11,0.275
204,clothing,37,14,13,0.34210526315789475
356,sports,24,14,15,0.6
750,sports,35,14,18,0.5
81,home,44,11,11,0.24444444444444444
582,books,41,8,13,0.30952380952380953
281,electronics,32,9,14,0.42424242424242425
107,home,44,14,8,0.17777777777777778
214,electronics,34,17,15,0.42857142857142855
539,clothing,48,14,14,0.2857142857142857
251,sports,32,11,8,0.24242424242424243
307,clothing,32,20,15,0.45454545454545453
789,sports,46,11,18,0.3829787234042553
61,clothing,31,12,12,0.375
290,electronics,35,11,11,0.3055555555555556
712,clothing,36,6,18,0.4864864864864865
209,sports,33,17,13,0.38235294117647056
318,clothing,39,15,7,0.175
550,books,39,13,12,0.3
95,home,36,14,17,0.4594594594594595
798,electronics,27,19,10,0.35714285714285715
533,sports,37,10,14,0.3684210526315789
176,electronics,46,13,15,0.3191489361702128
141,sports,42,15,12,0.27906976744186046
225,sports,28,12,12,0.41379310344827586
19,books,30,13,10,0.3225806451612903
89,home,33,11,13,0.38235294117647056
766,clothing,34,6,16,0.45714285714285713
60,books,30,18,11,0.3548387096774194
474,electronics,42,12,9,0.20930232558139536
90,books,41,16,12,0.2857142857142857
594,electronics,37,14,14,0.3684210526315789
187,clothing,29,14,16,0.5333333333333333
480,electronics,35,8,24,0.6666666666666666
641,electronics,45,15,8,0.17391304347826086
706,clothing,32,14,17,0.5151515151515151
502,electronics,34,16,16,0.45714285714285713
588,sports,49,19,9,0.18
711,clothing,51,14,13,0.25
623,home,30,8,9,0.2903225806451613
461,home,44,12,8,0.17777777777777778
424,electronics,40,14,9,0.21951219512195122
572,clothing,37,18,16,0.42105263157894735
629,home,42,11,18,0.4186046511627907
421,sports,34,5,11,0.3142857142857143
589,sports,34,14,8,0.22857142857142856
675,clothing,42,12,17,0.3953488372093023
64,books,41,13,15,0.35714285714285715
632,sports,39,18,9,0.225
485,sports,36,10,10,0.2702702702702703
697,clothing,30,16,8,0.25806451612903225
526,sports,42,8,16,0.37209302325581395
684,home,28,13,7,0.2413793103448276
781,sports,31,6,12,0.375
131,sports,28,11,15,0.5172413793103449
98,home,31,14,13,0.40625
479,clothing,42,18,21,0.4883720930232558
162,sports,38,15,10,0.2564102564102564
274,sports,37,9,15,0.39473684210526316
345,books,30,14,10,0.3225806451612903
585,electronics,31,9,14,0.4375
778,clothing,38,19,8,0.20512820512820512
169,clothing,33,16,12,0.35294117647058826
678,sports,40,14,17,0.4146341463414634
429,home,38,13,12,0.3076923076923077
348,clothing,35,16,12,0.3333333333333333
674,electronics,45,15,15,0.32608695652173914
51,books,33,7,12,0.35294117647058826
456,books,46,11,7,0.14893617021276595
800,books,47,13,11,0.22916666666666666
761,clothing,30,14,14,0.45161290322580644
752,books,28,10,22,0.7586206896551724
448,clothing,35,7,10,0.2777777777777778
692,clothing,39,14,6,0.15
745,books,27,9,12,0.42857142857142855
58,books,46,11,11,0.23404255319148937
37,books,35,13,10,0.2777777777777778
443,books,29,20,16,0.5333333333333333
491,electronics,41,14,16,0.38095238095238093
486,electronics,46,10,10,0.2127659574468085
726,sports,23,12,4,0.16666666666666666
45,sports,42,11,14,0.32558139534883723
295,home,48,13,17,0.3469387755102041
447,sports,39,10,13,0.325
26,sports,37,16,13,0.34210526315789475
230,electronics,36,11,18,0.4864864864864865
54,books,41,9,14,0.3333333333333333
292,electronics,38,16,14,0.358974358974359
396,electronics,49,10,19,0.38
381,clothing,45,7,9,0.1956521739130435
142,books,39,18,17,0.425
454,home,43,9,9,0.20454545454545456
573,books,35,17,9,0.25
786,sports,33,16,20,0.5882352941176471
165,sports,23,12,11,0.4583333333333333
369,books,45,14,19,0.41304347826086957
496,sports,33,13,11,0.3235294117647059
489,clothing,43,11,12,0.2727272727272727
458,sports,39,14,11,0.275
525,sports,36,12,12,0.32432432432432434
245,books,30,9,8,0.25806451612903225
27,home,41,12,14,0.3333333333333333
578,electronics,28,12,11,0.3793103448275862
336,clothing,39,15,12,0.3
366,sports,37,12,4,0.10526315789473684
194,home,41,12,14,0.3333333333333333
164,home,57,10,9,0.15517241379310345
370,sports,46,15,9,0.19148936170212766
91,sports,31,17,11,0.34375
272,electronics,29,11,9,0.3
252,electronics,48,10,19,0.3877551020408163
751,books,31,10,18,0.5625
263,home,35,17,15,0.4166666666666667
655,clothing,42,21,10,0.23255813953488372
256,clothing,43,12,11,0.25
160,sports,30,12,18,0.5806451612903226
1,home,50,12,12,0.23529411764705882
254,home,30,14,12,0.3870967741935484
180,electronics,45,13,14,0.30434782608695654
731,books,29,10,25,0.8333333333333334
765,sports,39,17,14,0.35
628,clothing,41,16,16,0.38095238095238093
151,sports,34,12,11,0.3142857142857143
328,books,40,16,14,0.34146341463414637
112,books,39,11,8,0.2
319,books,36,18,10,0.2702702702702703
450,sports,44,12,18,0.4
123,sports,35,18,19,0.5277777777777778
422,sports,38,15,7,0.1794871794871795
109,electronics,38,15,13,0.3333333333333333
535,clothing,44,10,8,0.17777777777777778
552,sports,36,8,14,0.3783783783783784
285,sports,32,9,14,0.42424242424242425
220,electronics,38,11,10,0.2564102564102564
365,books,47,12,12,0.25
513,sports,35,14,11,0.3055555555555556
48,clothing,36,12,13,0.35135135135135137
233,books,42,18,13,0.3023255813953488
404,sports,35,16,13,0.3611111111111111
734,books,33,12,15,0.4411764705882353
541,sports,44,12,12,0.26666666666666666
286,sports,36,17,9,0.24324324324324326
419,electronics,42,15,11,0.2558139534883721
523,sports,30,9,10,0.3225806451612903
640,clothing,39,10,11,0.275
563,electronics,30,5,7,0.22580645161290322
159,books,36,14,14,0.3783783783783784
178,home,31,14,19,0.59375
153,clothing,41,15,8,0.19047619047619047
136,clothing,45,16,13,0.2826086956521739
571,sports,31,16,15,0.46875
444,books,41,7,9,0.21428571428571427
626,books,47,15,13,0.2708333333333333
700,clothing,38,18,15,0.38461538461538464
222,home,53,20,13,0.24074074074074073
362,books,31,12,7,0.21875
518,clothing,29,18,15,0.5
193,clothing,39,15,14,0.35
607,books,27,7,11,0.39285714285714285
291,home,39,12,9,0.225
102,sports,34,12,20,0.5714285714285714
156,electronics,31,20,18,0.5625
384,electronics,49,16,13,0.26
583,sports,49,9,10,0.2
796,sports,40,12,15,0.36585365853658536
183,home,32,18,20,0.6060606060606061
681,books,38,16,7,0.1794871794871795
756,sports,40,16,13,0.3170731707317073
530,clothing,42,13,6,0.13953488372093023
39,electronics,42,15,14,0.32558139534883723
478,sports,39,11,9,0.225
